Datetime,Open,High,Low,Close,Volume,Rsi,Tkr Buy,Tkr Sell,Open Interest,Number Of Trades,Taker Buy Volume,TT LongShortRatio Positions 5m,TT LongAccount Ratio Positions 5m,TT ShortAccount Positions 5m,TT LongShortRatio Accounts 5m,TT LongAccount Accounts 5m,TT ShortAccount Accounts 5m,Buy Sell Ratio 5m,Buy Vol 5m,Sell Vol 5m,"Mkr plus 0,005","Mkr plus 0,01","Mkr plus 0,015","Mkr plus 0,020","Mkr plus 0,025","Mkr plus 0,030","Mkr plus 0,035","Mkr plus 0,040","Mkr plus 0,045","Mkr plus 0,050","Mkr plus 0,075","Mkr plus 0,1","Mkr plus 0,125","Mkr plus 0,150","Mkr plus 0,175","Mkr plus 0,200","Mkr plus 0,225","Mkr minus 0,005","Mkr minus 0,01","Mkr minus 0,015","Mkr minus 0,020","Mkr minus 0,025","Mkr minus 0,030","Mkr minus 0,035","Mkr minus 0,040","Mkr minus 0,045","Mkr minus 0,050","Mkr minus 0,075","Mkr minus 0,1","Mkr minus 0,125","Mkr minus 0,150","Mkr minus 0,175","Mkr minus 0,200","Mkr minus 0,225"
02/23/2024 07:04:00,2963.29,2965.85,2962.81,2965.38,343.251,51.92,160.084,79.179,887741.124,1989,1403.426,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.9970,1477.9770,1482.3780,91.536,92.175,69.984,47.426,292.589,134.663,130.723,57.615,69.444,40.254,361.849,393.527,506.441,951.888,994.333,918.250,757.805,125.622,2.451,21.999,68.274,208.294,184.384,164.362,131.591,73.045,64.968,613.813,340.418,387.007,856.130,408.084,644.377,856.489
02/23/2024 07:05:00,2965.38,2965.88,2964.34,2964.34,145.308,48.01,53.372,91.826,887856.504,1092,195.602,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.9970,1477.9770,1482.3780,76.135,49.468,15.823,285.507,96.107,85.143,242.876,132.673,38.935,118.678,429.357,338.784,252.067,1001.444,661.804,960.240,730.100,39.291,46.517,209.981,200.010,179.469,105.168,66.551,120.698,63.865,228.489,359.067,454.712,366.848,1059.767,462.604,1256.191,753.703
02/23/2024 07:06:00,2964.34,2965.29,2963.32,2963.32,148.586,44.48,69.048,68.093,887922.798,1288,200.232,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.8159,3281.1920,4021.7760,85.242,98.385,61.489,44.698,74.166,200.013,239.763,106.373,45.416,87.052,389.035,332.209,272.264,729.453,872.639,498.840,808.070,5.245,7.704,16.183,256.927,200.285,107.508,111.893,106.761,122.741,163.577,556.450,495.892,558.097,975.682,611.599,1277.063,368.833
02/23/2024 07:07:00,2963.32,2963.32,2961.40,2962.29,242.646,41.18,72.968,104.754,888347.337,1194,593.407,1.6025,0.6158,0.3842,1.6344,0.6204,0.3796,0.8159,3281.1920,4021.7760,39.602,20.028,5.332,44.983,41.882,91.706,115.695,295.022,112.158,18.563,297.542,210.042,455.381,806.526,600.628,835.680,812.205,60.834,38.791,133.039,117.742,247.906,163.244,99.742,112.218,177.652,177.882,542.716,480.397,552.428,1264.180,375.788,711.803,734.724
02/23/2024 07:08:00,2962.29,2963.14,2962.28,2963.14,45.366,44.82,32.216,12.758,888448.862,798,157.584,1.6025,0.6158,0.3842,1.6344,0.6204,0.3796,0.8159,3281.1920,4021.7760,56.045,13.875,80.717,106.034,56.337,213.449,98.410,109.859,67.065,118.607,318.763,489.684,693.716,589.045,479.251,973.562,661.196,35.831,27.291,68.815,109.775,206.327,165.562,204.666,174.988,133.584,144.528,660.880,433.345,417.477,623.204,1072.761,496.552,908.151
02/23/2024 07:09:00,2963.14,2963.14,2961.84,2962.09,103.971,41.41,45.398,58.573,888442.070,873,77.145,1.6025,0.6158,0.3842,1.6344,0.6204,0.3796,0.8159,3281.1920,4021.7760,74.167,8.310,68.658,105.965,46.987,270.636,70.118,130.644,138.503,47.272,336.748,247.166,373.480,956.553,618.014,693.615,770.835,35.894,22.650,83.987,206.030,195.975,169.396,82.137,77.780,118.014,123.030,649.673,567.167,533.449,1053.738,572.443,934.074,667.306
02/23/2024 07:10:00,2962.09,2962.98,2961.98,2962.80,131.123,44.48,109.982,21.131,888772.555,1326,834.448,1.6025,0.6158,0.3842,1.6385,0.6210,0.3790,0.8159,3281.1920,4021.7760,87.577,35.081,51.548,14.313,39.635,78.006,215.739,134.042,174.737,64.027,308.506,405.197,745.078,577.686,656.132,838.820,697.204,73.635,35.667,118.728,271.498,150.764,119.184,87.991,30.957,134.779,81.410,672.305,370.754,547.499,1053.579,767.598,532.115,782.828
02/23/2024 07:11:00,2962.80,2962.81,2961.67,2961.67,137.085,40.82,40.829,83.925,888881.414,720,140.553,1.6017,0.6156,0.3844,1.6385,0.6210,0.3790,0.8159,3281.1920,4021.7760,56.170,34.613,38.286,41.884,58.543,220.814,63.330,54.286,80.372,63.392,484.684,220.968,261.269,674.112,986.048,597.244,580.757,50.753,87.580,80.894,201.082,272.299,138.275,127.847,63.796,67.328,124.257,721.800,649.252,991.284,567.085,722.698,657.487,940.231
02/23/2024 07:12:00,2961.67,2961.84,2961.13,2961.21,206.517,39.39,75.900,122.546,888700.638,993,249.267,1.6017,0.6156,0.3844,1.6385,0.6210,0.3790,0.8159,3281.1920,4021.7760,76.789,9.466,50.592,81.587,89.076,81.522,176.182,135.963,64.847,28.536,393.482,262.326,378.457,781.395,516.929,572.658,655.718,47.321,56.186,75.929,152.737,198.272,192.526,229.699,147.542,346.906,214.336,580.168,533.914,673.609,1055.906,467.856,668.716,964.509
02/23/2024 07:13:00,2961.21,2962.15,2961.14,2961.77,106.718,42.04,25.842,80.876,888727.967,924,165.682,1.6017,0.6156,0.3844,1.6385,0.6210,0.3790,0.9308,1234.3930,1326.2080,139.622,121.941,38.227,83.220,54.888,269.403,154.944,55.077,55.786,73.684,287.059,450.355,273.474,946.448,637.445,725.088,824.908,4.768,1.112,15.880,37.373,143.421,262.491,95.005,148.383,138.727,111.953,808.544,492.366,606.824,664.630,1006.899,559.697,412.631
